company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
Grant-Thomas LLC,Manufacturing,8,2,A Manufacturing company focused on streamline interactive deliverables,0
Garrett-Johnson LLC,Travel & Tourism,609,131,A Travel & Tourism company focused on generate 24/365 experiences,0
Parker Group Group,Hospitality,6,1,A Hospitality company focused on scale innovative architectures,0
Edwards-Brown Group,Gaming,520,17,A Gaming company focused on redefine best-of-breed niches,1
"King, Bowman and Molina Inc.",Publishing,7,3,A Publishing company focused on embrace compelling synergies,0
Peterson Group Solutions,Public Relations,325,79,A Public Relations company focused on exploit sticky e-business,1
"Smith, Brown and Wilcox Group",Healthcare,906,182,A Healthcare company focused on optimize synergistic relationships,1
Schroeder and Sons Group,Gaming,729,133,A Gaming company focused on leverage holistic eyeballs,1
Franklin-Mccall Solutions,Renewable Energy,782,59,A Renewable Energy company focused on embrace intuitive web services,1
"Holloway, Rivera and Zimmerman Group",Cosmetics,10,197,A Cosmetics company focused on reinvent out-of-the-box eyeballs,0
Beck Group Solutions,Staffing & Recruiting,218,94,A Staffing & Recruiting company focused on disintermediate vertical convergence,1
Sullivan Inc Group,Healthcare,692,110,A Healthcare company focused on extend revolutionary action-items,1
Taylor-Brown Inc.,Consumer Electronics,744,83,A Consumer Electronics company focused on repurpose viral metrics,0
Smith LLC Group,Food & Beverage,174,71,A Food & Beverage company focused on seize 24/365 web-readiness,1
Clayton and Sons LLC,Accounting,57,112,A Accounting company focused on seize bricks-and-clicks partnerships,1
"Vasquez, Pollard and Guerrero Group",Wellness and Fitness,691,59,A Wellness and Fitness company focused on productize back-end technologies,1
Simpson-Morrison Group,Utilities,761,136,A Utilities company focused on mesh dot-com technologies,1
Sanchez Inc Group,EdTech,390,18,A EdTech company focused on leverage user-centric methodologies,1
Barker-Arnold Solutions,Banking,6,1,A Banking company focused on grow front-end infrastructures,0
Rogers-Jacobson Solutions,Accounting,572,188,A Accounting company focused on envisioneer ubiquitous solutions,1
Brown Inc Solutions,SaaS,7,2,A SaaS company focused on brand viral e-commerce,0
"Arias, Webb and Garza Inc.",Consulting,978,81,A Consulting company focused on unleash seamless deliverables,1
"Benson, Davis and Harrison Inc.",Biotechnology,136,126,A Biotechnology company focused on re-intermediate 24/7 systems,1
"Fields, Wiley and Kent Group",Consulting,5,3,A Consulting company focused on unleash best-of-breed users,0
Waters Group Group,Events Services,8,1,A Events Services company focused on redefine holistic portals,0
"Marks, Smith and Thompson Inc.",Aerospace & Defense,704,196,A Aerospace & Defense company focused on monetize robust e-markets,1
Casey LLC Group,Telecommunications,978,122,A Telecommunications company focused on incentivize clicks-and-mortar eyeballs,0
Watts Inc Group,Medical Devices,972,114,A Medical Devices company focused on integrate customized platforms,1
Russell PLC LLC,Events Services,8,1,A Events Services company focused on utilize vertical applications,0
"Golden, Hayes and Ortega Inc.",Medical Devices,778,187,A Medical Devices company focused on iterate clicks-and-mortar content,1
Franklin and Sons Group,Public Relations,75,68,A Public Relations company focused on maximize customized paradigms,1
"Baker, Fisher and Lawson Solutions",Cloud Computing,6,3,A Cloud Computing company focused on implement open-source systems,0
Phillips-Thompson LLC,Logistics & Supply Chain,946,7,A Logistics & Supply Chain company focused on expedite bleeding-edge metrics,1
Callahan PLC Solutions,Agriculture,953,63,A Agriculture company focused on generate bricks-and-clicks ROI,1
"Valencia, Johnson and Rose Solutions",Staffing & Recruiting,7,3,A Staffing & Recruiting company focused on optimize mission-critical synergies,0
"Harris, Montoya and Hughes Group",Oil & Gas,921,96,A Oil & Gas company focused on engineer user-centric synergies,1
Marks-Fernandez Solutions,Hospitality,824,182,A Hospitality company focused on synthesize next-generation technologies,0
Graves Group Group,Consulting,620,176,A Consulting company focused on re-contextualize wireless applications,1
Park and Sons Inc.,Logistics & Supply Chain,15,196,A Logistics & Supply Chain company focused on monetize plug-and-play synergies,1
"Baldwin, Greene and Flores Inc.",HealthTech,972,126,A HealthTech company focused on facilitate one-to-one metrics,1
Armstrong-Martin LLC,Fintech,6,2,A Fintech company focused on generate global models,0
Campos Inc Inc.,AI,469,160,A AI company focused on deliver one-to-one portals,1
"Armstrong, Abbott and Miller Solutions",Investment Management,39,93,A Investment Management company focused on monetize compelling platforms,1
West-White Solutions,Food & Beverage,450,126,A Food & Beverage company focused on visualize wireless e-services,1
Scott Ltd Solutions,Events Services,982,152,A Events Services company focused on redefine interactive portals,0
Lester-Chavez Inc.,Utilities,6,3,A Utilities company focused on deploy best-of-breed experiences,0
Buchanan Ltd Solutions,Fashion & Apparel,568,94,A Fashion & Apparel company focused on e-enable integrated content,0
Lawson-Davis Group,Accounting,735,190,A Accounting company focused on implement granular channels,1
Watkins and Sons Inc.,Publishing,942,81,A Publishing company focused on streamline cutting-edge channels,0
Pace Ltd Solutions,HR Tech,86,115,A HR Tech company focused on utilize enterprise paradigms,1
"Gentry, Gutierrez and Singleton Group",Cloud Computing,5,2,A Cloud Computing company focused on architect integrated bandwidth,0
"Collins, Crosby and Vang Group",Venture Capital,7,2,A Venture Capital company focused on repurpose virtual communities,0
"Williams, Suarez and Frost Group",HR Tech,407,102,A HR Tech company focused on engage killer info-mediaries,1
Rich Group Group,Utilities,15,32,A Utilities company focused on incentivize dot-com experiences,1
"Bush, Wong and Martinez LLC",Investment Management,277,165,A Investment Management company focused on seize 24/365 action-items,1
Anderson-Suarez Solutions,Fashion & Apparel,891,37,A Fashion & Apparel company focused on repurpose proactive e-markets,0
"Peters, Lee and Blackburn Solutions",Aerospace & Defense,113,176,A Aerospace & Defense company focused on scale visionary mindshare,1
Harrington Inc Solutions,Gaming,12,144,A Gaming company focused on deploy web-enabled ROI,1
Hale Inc Group,Automotive,714,184,A Automotive company focused on transition open-source e-commerce,1
Vang-Kelly Solutions,Manufacturing,8,1,A Manufacturing company focused on whiteboard B2B niches,0
Poole-Mcguire Group,AI,44,172,A AI company focused on incubate turn-key info-mediaries,1
Cooper-Ramos Group,Wellness and Fitness,6,3,A Wellness and Fitness company focused on facilitate transparent deliverables,0
"Vasquez, Silva and Arnold LLC",Pharmaceuticals,653,107,A Pharmaceuticals company focused on monetize cutting-edge vortals,1
Johnson Inc Solutions,HealthTech,81,47,A HealthTech company focused on integrate B2B methodologies,1
Garcia-Pugh Solutions,Automotive,29,138,A Automotive company focused on integrate dot-com web-readiness,1
Chavez-Norton Solutions,Cybersecurity,196,170,A Cybersecurity company focused on engineer cutting-edge solutions,1
Anderson PLC Solutions,Telecommunications,679,13,A Telecommunications company focused on re-intermediate next-generation mindshare,0
Dominguez-Thomas Group,HR Tech,772,27,A HR Tech company focused on synergize back-end convergence,1
Miller Ltd Inc.,Retail,727,197,A Retail company focused on enable value-added schemas,1
Adams-Harris Group,Wellness and Fitness,285,39,A Wellness and Fitness company focused on optimize dynamic convergence,1
Bennett Group Group,Events Services,159,33,A Events Services company focused on integrate collaborative infrastructures,0
Williamson-Smith LLC,Travel & Tourism,664,68,A Travel & Tourism company focused on empower revolutionary markets,0
Le PLC Solutions,Publishing,93,194,A Publishing company focused on enable web-enabled channels,0
"Sanders, Williams and David LLC",Food & Beverage,455,46,A Food & Beverage company focused on redefine interactive applications,1
Liu Inc Inc.,Medical Devices,844,76,A Medical Devices company focused on implement intuitive web services,1
"Cox, Hernandez and Hodges Group",Staffing & Recruiting,279,31,A Staffing & Recruiting company focused on drive revolutionary niches,1
Rodgers-Carter Solutions,Agriculture,237,81,A Agriculture company focused on incentivize clicks-and-mortar synergies,1
Saunders-Kelly Solutions,Agriculture,677,89,A Agriculture company focused on iterate dynamic experiences,1
Castro-Ayala Solutions,Software,5,3,A Software company focused on implement real-time architectures,0
Patterson-Conway Group,Agriculture,5,3,A Agriculture company focused on re-contextualize out-of-the-box interfaces,0
"Oneill, Kim and Harrington Group",Venture Capital,217,137,A Venture Capital company focused on strategize end-to-end channels,1
"Brown, Johnson and Austin LLC",Automotive,101,105,A Automotive company focused on evolve strategic ROI,1
"Bond, Quinn and Williams Solutions",Manufacturing,8,2,A Manufacturing company focused on generate bricks-and-clicks schemas,0
"Kirk, Berger and Castillo Solutions",Venture Capital,33,162,A Venture Capital company focused on transition user-centric platforms,1
"Khan, Taylor and Harmon Solutions",Manufacturing,988,80,A Manufacturing company focused on monetize 24/7 interfaces,1
"Guzman, Cruz and Lynch Group",Consumer Electronics,95,112,A Consumer Electronics company focused on facilitate 24/7 web services,0
Moyer Inc Group,Pharmaceuticals,473,179,A Pharmaceuticals company focused on cultivate synergistic ROI,1
"Jones, Contreras and Osborn Inc.",Travel & Tourism,5,3,A Travel & Tourism company focused on unleash web-enabled bandwidth,0
Gonzalez-Nguyen LLC,EdTech,7,2,A EdTech company focused on maximize virtual methodologies,0
"Smith, Thompson and Collier LLC",IoT,5,3,A IoT company focused on facilitate holistic metrics,0
Figueroa PLC LLC,Utilities,171,89,A Utilities company focused on leverage real-time networks,1
"Melendez, Turner and Simon Group",EdTech,205,85,A EdTech company focused on streamline interactive schemas,1
"James, Hoffman and Reyes Inc.",IoT,605,176,A IoT company focused on e-enable interactive communities,1
Jennings and Sons Solutions,Staffing & Recruiting,306,177,A Staffing & Recruiting company focused on visualize 24/7 models,1
"Alvarado, Thompson and Hancock Group",Data Analytics,844,76,A Data Analytics company focused on revolutionize one-to-one metrics,1
"Kennedy, Novak and Williams Group",Publishing,657,9,A Publishing company focused on revolutionize granular convergence,0
Gonzalez-Coleman Group,Events Services,6,1,A Events Services company focused on target 24/365 solutions,0
Hill Inc LLC,Consulting,153,109,A Consulting company focused on grow 24/7 systems,1
Santiago-Green LLC,Agriculture,495,16,A Agriculture company focused on unleash strategic methodologies,1
Griffin-Bridges Group,Consulting,7,1,A Consulting company focused on mesh value-added content,0
Giles PLC Inc.,Logistics & Supply Chain,5,3,A Logistics & Supply Chain company focused on synthesize interactive platforms,0
"Moses, Hicks and Morgan LLC",Biotechnology,440,47,A Biotechnology company focused on streamline integrated markets,1
"Graves, Patterson and Holloway LLC",Hospitality,768,143,A Hospitality company focused on synergize cutting-edge vortals,0
Francis LLC LLC,AI,645,81,A AI company focused on facilitate B2B relationships,1
"Campbell, Bennett and Johnson Group",Data Analytics,221,73,A Data Analytics company focused on embrace distributed solutions,1
Sanchez-Alvarez LLC,Investment Management,149,43,A Investment Management company focused on aggregate bleeding-edge solutions,1
Tucker-Reid Inc.,SaaS,5,1,A SaaS company focused on morph intuitive experiences,0
"Walker, Reyes and Thompson Group",Media & Entertainment,436,121,A Media & Entertainment company focused on optimize scalable interfaces,0
Nguyen-Robinson Group,Manufacturing,761,67,A Manufacturing company focused on evolve wireless communities,1
"Whitaker, Sandoval and Williams Solutions",HR Tech,486,118,A HR Tech company focused on aggregate enterprise convergence,1
Williams Ltd LLC,Consumer Electronics,854,117,A Consumer Electronics company focused on harness bricks-and-clicks action-items,0
"Thompson, Robinson and Bryant Solutions",Insurance,739,47,A Insurance company focused on expedite distributed users,1
Huff Inc Inc.,Renewable Energy,8,2,A Renewable Energy company focused on transition user-centric initiatives,0
"Thomas, James and Orr LLC",Public Relations,344,97,A Public Relations company focused on optimize extensible infrastructures,1
